vacancy_id,id,text,type_id,ind
22030073,160,"умение доступно, грамотно и технически правильно представлять информацию на английском языке;",2,1287
22030073,161,ясное понимание содержания оригинальных документов / текстов;,2,1288
22030073,162,знание стандартов оформления и технологий разработки документации;,2,1289
22030073,163,знание систем для создания подсистем контекстной помощи (Madcap Flare или Adobe RoboHelp);,2,1290
22030073,164,навыки работы с графикой;,2,1291
22030073,165,знание компьютера на уровне опытного пользователя (уверенное знание программных продуктов MS Office);,2,1292
22030073,166,"личные качества:  организованность, ответственность, пунктуальность, педантичность, исполнительность, хорошие организаторские навыки, умение работать в авральном режиме, быстрая обучаемость.  ",2,1293
22030073,167,"организованность, ответственность, пунктуальность, педантичность,",2,1294
22030073,168,"исполнительность, хорошие организаторские навыки,",2,1295
22030073,169,"умение работать в авральном режиме, быстрая обучаемость.",2,1296
22030073,170,"разработка, актуализация, коррекция технической документации на программное обеспечение и электронной справочной системы (HELP) для web-приложений.",2,1297
22030363,171,"Генерация контента для Youtube, Instagram и других социальных сетей",1,1298
22030363,172,"Воплощение этих идей в реальность (участие в съемках видео, фото)",1,1299
22030363,173,Монтаж видео!,1,1300
22030363,174,Общение с блогерами,1,1301
22030363,175,Выполнение поручений руководства,1,1302
22030363,176,Грамотная речь,2,1303
22030363,177,Харизматичность,2,1304
22030363,178,Ответственный,2,1305
22030363,179,Аккуратный,2,1306
22030363,180,Стрессоустойчивый,2,1307
22031164,181,Проектирование новых продуктов и решений в соответствии с требованиями и потребностями заказчиков,1,1308
22031164,182,Обсуждение с заказчиками их требований и выявление потребностей,1,1309
22031164,183,Контроль за созданием продуктов и их развитием,1,1310
22031164,184,Разработка документации,1,1311
22031164,185,Составление плана-графика работ,1,1312
22031164,186,Формализация задач для разработчиков и согласование результатов с заказчиком,1,1313
22031164,187,Проверка соответствия продукта реализованного командой разработчиков требованиям и потребностям заказчика.,1,1314
22031164,188,Постановка корректирующих задач,1,1315
22031164,189,Очень важен проактивный подход к созданию и развитию продукта,2,1316
22031164,190,Приветствуется опыт работы с сервисами и продуктами Google,2,1317
22031164,191,Необходимо знание английского языка (понимать и писать технические тексты),2,1318
22031164,192,Понимать пользователей и доносить их пожелания и требования до разработчиков,2,1319
22031164,193,"Способствовать совместной работе участников, решающих разные задачи",2,1320
22031164,194,Идти на компромиссы относительно продукта,2,1321
22031164,195,Достигать конечной цели в условиях фиксированных сроков и ресурсов,2,1322
22031164,196,Быть позитивным и практичным,2,1323
22031197,197,"Сопровождение сетевого оборудования систем информационной безопасности: Cisco ISE, ПАК ФПСУ-IP, АПКШ Континент;",1,1324
22031197,198,"Разработка архитектуры, внедрение, мониторинг, устранение сбоев, контроль производительности;",1,1325
22031197,199,Участие в реализации проектов на сетевой инфраструктуре;,1,1326
22031197,200,Периодический анализ сетевой инфраструктуры и параметров сетевого оборудования на предмет улучшения;,1,1327
22031197,201,Взаимодействие с внешними партнерами;,1,1328
22031197,202,Подготовка аналитической информации и отчетов;,1,1329
22031197,203,Проведение анализа и тестирования новых технических решений и их внедрение;,1,1330
22031197,204,"Экспертиза регламентных документов, консультации сотрудников Банка;",1,1331
22031197,205,"Документирование сопровождаемых систем, разработка схем;",1,1332
22031197,206,Высшее техническое образование;,2,1333
22031197,207,Опыт работы в аналогичной должности не менее 2 лет;,2,1334
22031197,208,"Желательный опыт администрирования систем информационной безопасности: Check Point, Cisco ASA, Cisco ISE, ПАК ФПСУ-IP, АПКШ Континент, S-Terra, VipNet;",2,1335
22031197,209,Опыт сопровождения сетевого оборудования Cisco;,2,1336
22031197,210,"Понимание работы протоколов маршрутизации, механизмов работы TCP-стека и других основных протоколов модели OSI;",2,1337
22031197,211,Навыки проведения глубокого анализа сетевого трафика;,2,1338
22031197,212,Понимание аппаратной архитектуры сетевого оборудования;,2,1339
22031197,213,Аналитические навыки решения проблем в работе сетевых приложений;,2,1340
22031197,214,"Знание принципов построения сети предприятия, масштабирования, понимание ""узких мест"" архитектуры и ограничений моделей оборудования;",2,1341
22031197,215,"Устойчивый профессиональный рост в областях - Security, LAN;",2,1342
22031197,216,Знание принципов построения защищенной VPN сети;,2,1343
22031197,217,Навыки работы с системами мониторинга;,2,1344
22031197,218,"Навыки работы с централизованными системами управления (Check Point Smart Dashboard, Cisco CSM, Netflow Analyzer, Cisco ACS, Cisco Prime и т.п.);",2,1345
22031197,219,Знание ОС семейства Linux;,2,1346
22031197,220,"Уверенное владение Microsoft Excel, Visio, PowerPoint.",2,1347
22031682,221,"Продажи комплексных проектов по строительству и модернизации сетевой инфраструктуры заказчиков, включая активное и пассивное сетевое оборудование локальных сетей (LAN), оборудование для передачи данных между отделениями и филиалами компаний (WAN), беспроводные WiFi сегменты сетевой инфраструктуры;",1,1348
22031682,222,"Активный поиск новых клиентов и проектов, развитие сотрудничества с существующими клиентами;",1,1349
