id,label_true_k122,title,KMeans_artm_k37,KMeans_tfidf_k37,KMeans_w2v_k37,Birch_artm_k122,Birch_w2v_k38,Birch_tfidf_k268,AffinityPropagation_artm_k660,AffinityPropagation_tfidf_k1749,AffinityPropagation_w2v_k469,x,y,z
23433926,106,Руководитель группы разработчиков (С/С++),0,0,37,18,4,1,415,1580,350,0.12763473326113287,0.018362753325408734,-0.048226680106649544
26192969,106,Руководитель подразделения по развитию технологий корпоративного бизнеса,19,16,27,22,4,1,599,1659,357,0.10484984577801953,0.014183070865062793,-0.01705031047237118
25698501,106,Главный специалист по контролю внедрения рекомендаций внутреннего аудита,13,16,27,17,4,1,599,1474,357,0.09283399702597299,0.0041689340992713125,-0.015929353654012574
25643805,106,Региональный специалист отдела автоматизации продаж / Regional sales automation systems specialist,9,23,31,43,4,1,483,1643,357,0.07982902582905653,0.012272114391093892,-0.013977710177317717
25617254,106,Технолог POS-кредитование,19,16,27,17,4,1,488,1474,357,0.09769724567452974,0.013181649470072181,-0.016672208967420336
25931813,106,Аналитик,19,16,27,17,4,1,484,1473,357,0.09358013298105865,0.013344765078868812,-0.017982877648658437
21707257,106,Системный аналитик,19,16,27,22,4,1,65,1505,365,0.09622272720579204,0.009718269384079764,-0.02973862237611792
20579283,106,Системный аналитик (информационная безопасность),0,16,35,18,4,1,654,1352,32,0.11555519217709144,0.024805158832447008,-0.04645645471374132
23262653,106,Аналитик (Медицина),0,16,37,18,4,1,654,1650,350,0.1304247486701607,0.018429928578132363,-0.038879780491133054
22880220,106,Team manager,19,14,27,18,4,1,434,1467,365,0.04212193748785979,-0.0009613462376131912,-0.00984277592026152
23160167,106,Ведущий аналитик,19,16,27,42,4,1,521,1659,365,0.12050475462719078,0.01272895756440357,-0.02767900528489897
24956117,106,Senior/ Regular System Analyst,19,16,27,22,4,1,7,1505,365,0.11065775878566828,0.013351230524815294,-0.04353419145316203
25181279,106,Аналитик SharePoint,19,16,27,22,4,1,434,1650,365,0.15037924918621148,0.013942339455782798,-0.05904381139336435
24347224,106,Аналитик,19,16,27,17,4,1,434,1505,365,0.12204529538664292,0.014939280790390428,-0.04544263927992332
24702181,106,Аналитик,19,16,27,22,4,1,434,1505,365,0.08366237082437299,0.005090901036343982,-0.018234298798389656
27431253,106,Аналитик (DWH),19,16,27,22,4,1,589,1587,365,0.08707115177541094,0.0025011330821647208,-0.03163033674164768
25716614,106,Консультант OeBS (Финансы),19,16,27,22,4,1,64,1504,365,0.071715130269982,0.0015771457096117648,-0.015091575418277128
25733090,106,Постановщик,19,16,27,22,4,1,434,1392,365,0.07409486621148224,0.004307170726409952,-0.019682437095745627
23107647,106,Разработчик RPA (Robotics Process Automation),19,16,20,22,28,1,591,1338,153,0.09133473134454738,0.003166041692362857,-0.030031681083256174
21349459,106,Аналитик,19,16,27,22,4,1,521,1505,365,0.10368229274673074,0.008810638654189603,-0.03836416021831757
20139389,106,ИТ-аналитик,19,16,27,22,4,1,434,1392,365,0.11618616835798988,0.007221203083887018,-0.0360313165570056
23471257,106,Аналитик бизнес-процессов,19,16,27,22,4,18,599,1587,365,0.12392876773123986,-0.012443023555949702,0.004350071268412502
23436340,106,Функциональный тестировщик (направление BI),16,15,35,21,4,1,657,1724,365,0.06547158923610863,0.012605573223490499,-0.03562227567132647
23576330,106,Системный аналитик,19,16,20,18,28,1,553,1587,365,0.11000828029875333,0.019566757142668482,-0.041102821615195635
23374491,106,Технический аналитик,29,16,27,34,4,1,110,354,365,0.07521363514104745,0.007382406564474812,-0.036888906676779624
23976644,106,T-SQL программист/ Специалист по внедрению и сопровождению ПО,0,30,27,18,4,1,654,70,365,0.09547777928660257,0.00927291161035593,-0.03395307759821769
23910836,106,Системный аналитик ИТ-проекты,19,16,27,22,4,1,507,1505,365,0.08158820517420069,0.00814617815292246,-0.029133128488136227
22195358,106,Системный аналитик,19,16,35,18,4,1,434,1650,365,0.0962047368442266,0.009084797900447385,-0.04595083996963102
23221181,106,Методолог/Консультант-аналитик 1С (МСФО),19,16,10,18,25,1,61,1659,350,0.12409436026654688,0.00043159259685618916,0.012841063343393053
25837572,106,Release manager/Менеджер проекта,16,23,31,18,4,1,555,1636,357,0.09921261657606986,0.023949368113084613,-0.037591992114359776
23809365,106,Системный аналитик (АС Скоринговая платформа),19,16,37,18,8,1,554,1629,350,0.07004643413704222,0.016080582801697843,-0.0235544037987024
23816490,106,Бизнес-аналитик,19,16,37,18,4,1,654,1587,350,0.11658440530830594,0.02257925616812195,-0.03359897037551752
24086576,106,Аналитик,19,16,37,18,10,1,8,1650,350,0.11808117978436249,0.02401411278155221,-0.034568389152377546
24029506,106,Специалист по поддержке приложений отдела логистики,19,16,27,22,4,1,521,1587,357,0.10851569438037707,0.007547203951091711,-0.031481464852933634
24002357,106,Ведущий специалист группы технического сопровождения справочников,19,16,27,22,4,1,511,1467,357,0.06527774424667315,0.0025038554392929494,-0.011136981276615495
24269320,106,Аналитик бизнес-процессов,19,16,27,22,4,1,521,1473,357,0.10501893925138167,0.0070688577701254795,-0.010583212761801953
27177286,106,Системный аналитик (Томск),33,16,27,18,4,1,651,86,350,0.11674032181128786,0.012376195660004707,-0.03486110406120246
24274054,106,IT аналитик поддержки бизнес приложений,19,16,31,17,4,1,9,1629,357,0.09315675146074204,0.01864996293321589,-0.032757026502119896
22995711,106,Тестировщик,16,15,31,18,8,1,555,385,350,0.07078727006334365,0.012775349165431325,-0.02534973289093785
25455110,106,Руководитель отдела информационной безопасности,13,37,31,17,4,1,660,143,357,0.09439404439171648,0.020599126935024137,-0.020617475847632714
25406878,106,Начальник отдела кредитных стратегий Управление анализа рисков,19,23,27,42,4,1,488,1647,357,0.07778329155517992,0.003446531944175866,-0.01861287019236133
25290219,106,Бизнес-технолог (складская логистика),19,16,27,22,4,1,598,1657,357,0.09304277892609845,0.004505009664810006,-0.014524196539779325
27138064,106,Системный аналитик (инженер-технолог),19,16,27,18,4,1,472,1587,350,0.08280339867826716,0.008908838589441396,-0.02112583449861276
22291369,106,Специалист по внедрению и сопровождению банковского ПО,0,14,10,18,8,1,537,70,350,0.085191001824939,0.008034998954398359,-0.02406592214149664
20717242,106,Администратор проектов,13,0,31,17,4,1,660,1492,350,0.10250758388449209,0.010449529578941451,-0.027632332068218995
23878002,106,Бизнес-аналитик,19,16,31,17,8,1,472,1587,350,0.09427812237655837,0.0051508343760885075,-0.011991227381177161
22768052,106,Менеджер проекта,19,0,27,17,4,1,7,1640,365,0.09548841121713536,0.014460952340414111,-0.04585543547235851
25405102,106,Методолог/бизнес-аналитик,19,16,27,22,4,1,599,1587,357,0.07343531034232591,0.009295565859040105,-0.02157906549212199
22832744,106,Разработчик автоматизированных тестов,0,14,31,18,4,1,555,1452,350,0.13072509757972564,0.018364009890715672,-0.04220157043708202
25386290,106,Технический писатель,13,0,31,18,8,1,597,1636,350,0.086050130524913,0.00877178150958698,-0.02686175688519006
22477627,106,Начальник отдела автоматизированных систем управления предприятием,19,16,27,23,4,1,654,1554,350,0.09852054080614651,0.008065351592498042,-0.02049803647203349
23924502,106,Технический писатель,0,14,37,18,27,1,382,1697,350,0.095083335326896,0.019078961586206273,-0.04524461209312236
27884071,106,Начальник отдела координации и мониторинга,13,0,31,17,4,1,470,1449,357,0.07622963804370492,0.010683724568999894,-0.013811776141616598
23926574,106,ИТ-аналитик,19,16,27,22,4,1,554,1553,350,0.10599439489183629,0.018842231802604997,-0.029827347082705548
27581107,106,Руководитель группы по развитию товародвижения,19,16,27,17,4,1,488,1474,357,0.08832449380788861,0.0038029991427715832,-0.020832504363983498
25327971,106,Менеджер проекта (UX/UI),19,14,27,17,4,1,645,1718,365,0.061834185338093026,0.012350819129229288,-0.024380571425519866
22411913,106,"Архитектор (единый профиль клиента (MDM), история операций, кампейнинг)",19,23,31,18,4,1,554,1614,350,0.06371326109786482,0.006489129096630607,-0.01669750084408532
27587139,106,Системный аналитик (Oracle Siebel CRM),19,16,27,22,4,1,553,1392,357,0.0924661804506424,0.008315856629751607,-0.025877932461895316
23718445,106,Аналитик 1С,19,16,27,18,4,18,61,1455,350,0.14019960809921536,-0.021261957224206957,0.03991227880601757
27657941,106,Руководитель / Главный специалист отдела по развитию клиринговых сервисов,9,23,31,18,4,1,549,1636,357,0.08190241299014393,0.0030144149007562907,-0.016186670704849318
22751985,106,Руководитель блока программирования WEB,13,23,37,18,8,1,537,1453,350,0.09504867766538695,0.01625857868960596,-0.032598828323455065
22446168,106,Руководитель отдела научных разработок,0,0,31,18,8,1,415,1550,350,0.11923011625007811,0.02211112694733442,-0.03272355937878277
24592917,106,Администратор кросс-функциональных процессов,19,0,31,17,4,1,9,1659,357,0.09285686286002928,0.016958610548525103,-0.02755206737026476
